Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,31205,2000,1,1,22,,
IDCJAC0009,31205,2000,1,2,,,
IDCJAC0009,31205,2000,1,3,,,
IDCJAC0009,31205,2000,1,4,,,
IDCJAC0009,31205,2000,1,5,,,
IDCJAC0009,31205,2000,1,6,,,
IDCJAC0009,31205,2000,1,7,,,
IDCJAC0009,31205,2000,1,8,,,
IDCJAC0009,31205,2000,1,9,,,
IDCJAC0009,31205,2000,1,10,,,
IDCJAC0009,31205,2000,1,11,,,
IDCJAC0009,31205,2000,1,12,,,
IDCJAC0009,31205,2000,1,13,,,
IDCJAC0009,31205,2000,1,14,,,
IDCJAC0009,31205,2000,1,15,,,
IDCJAC0009,31205,2000,1,16,,,
IDCJAC0009,31205,2000,1,17,,,
IDCJAC0009,31205,2000,1,18,,,
IDCJAC0009,31205,2000,1,19,,,
IDCJAC0009,31205,2000,1,20,,,
IDCJAC0009,31205,2000,1,21,,,
IDCJAC0009,31205,2000,1,22,,,
IDCJAC0009,31205,2000,1,23,,,
IDCJAC0009,31205,2000,1,24,,,
IDCJAC0009,31205,2000,1,25,,,
IDCJAC0009,31205,2000,1,26,,,
IDCJAC0009,31205,2000,1,27,,,
IDCJAC0009,31205,2000,1,28,,,
IDCJAC0009,31205,2000,1,29,,,
IDCJAC0009,31205,2000,1,30,,,
IDCJAC0009,31205,2000,1,31,,,
IDCJAC0009,31205,2000,2,1,23,,
IDCJAC0009,31205,2000,2,2,57,,
IDCJAC0009,31205,2000,2,3,,,
IDCJAC0009,31205,2000,2,4,,,
IDCJAC0009,31205,2000,2,5,,,
IDCJAC0009,31205,2000,2,6,,,
IDCJAC0009,31205,2000,2,7,,,
IDCJAC0009,31205,2000,2,8,,,
IDCJAC0009,31205,2000,2,9,,,
IDCJAC0009,31205,2000,2,10,,,
IDCJAC0009,31205,2000,2,11,,,
IDCJAC0009,31205,2000,2,12,,,
IDCJAC0009,31205,2000,2,13,,,
IDCJAC0009,31205,2000,2,14,,,
IDCJAC0009,31205,2000,2,15,,,
IDCJAC0009,31205,2000,2,16,,,
IDCJAC0009,31205,2000,2,17,,,
IDCJAC0009,31205,2000,2,18,,,
IDCJAC0009,31205,2000,2,19,,,
IDCJAC0009,31205,2000,2,20,,,
IDCJAC0009,31205,2000,2,21,,,
IDCJAC0009,31205,2000,2,22,,,
IDCJAC0009,31205,2000,2,23,,,
IDCJAC0009,31205,2000,2,24,,,
IDCJAC0009,31205,2000,2,25,,,
IDCJAC0009,31205,2000,2,26,,,
IDCJAC0009,31205,2000,2,27,,,
IDCJAC0009,31205,2000,2,28,,,
IDCJAC0009,31205,2000,2,29,,,
IDCJAC0009,31205,2000,3,1,20,,
IDCJAC0009,31205,2000,3,2,1,,
IDCJAC0009,31205,2000,3,3,,,
IDCJAC0009,31205,2000,3,4,,,
IDCJAC0009,31205,2000,3,5,,,
IDCJAC0009,31205,2000,3,6,,,
IDCJAC0009,31205,2000,3,7,,,
IDCJAC0009,31205,2000,3,8,,,
IDCJAC0009,31205,2000,3,9,,,
IDCJAC0009,31205,2000,3,10,,,
IDCJAC0009,31205,2000,3,11,,,
IDCJAC0009,31205,2000,3,12,,,
IDCJAC0009,31205,2000,3,13,,,
IDCJAC0009,31205,2000,3,14,,,
IDCJAC0009,31205,2000,3,15,,,
IDCJAC0009,31205,2000,3,16,,,
IDCJAC0009,31205,2000,3,17,,,
IDCJAC0009,31205,2000,3,18,,,
IDCJAC0009,31205,2000,3,19,,,
IDCJAC0009,31205,2000,3,20,,,
IDCJAC0009,31205,2000,3,21,,,
IDCJAC0009,31205,2000,3,22,,,
IDCJAC0009,31205,2000,3,23,,,
IDCJAC0009,31205,2000,3,24,,,
IDCJAC0009,31205,2000,3,25,,,
IDCJAC0009,31205,2000,3,26,,,
IDCJAC0009,31205,2000,3,27,,,
IDCJAC0009,31205,2000,3,28,,,
IDCJAC0009,31205,2000,3,29,,,
IDCJAC0009,31205,2000,3,30,,,
IDCJAC0009,31205,2000,3,31,,,
IDCJAC0009,31205,2000,4,1,,,
IDCJAC0009,31205,2000,4,2,,,
IDCJAC0009,31205,2000,4,3,,,
IDCJAC0009,31205,2000,4,4,,,
IDCJAC0009,31205,2000,4,5,,,
IDCJAC0009,31205,2000,4,6,,,
IDCJAC0009,31205,2000,4,7,,,
IDCJAC0009,31205,2000,4,8,,,
IDCJAC0009,31205,2000,4,9,,,
IDCJAC0009,31205,2000,4,10,,,
IDCJAC0009,31205,2000,4,11,,,
IDCJAC0009,31205,2000,4,12,,,
IDCJAC0009,31205,2000,4,13,,,
IDCJAC0009,31205,2000,4,14,,,
IDCJAC0009,31205,2000,4,15,,,
IDCJAC0009,31205,2000,4,16,,,
IDCJAC0009,31205,2000,4,17,,,
IDCJAC0009,31205,2000,4,18,,,
IDCJAC0009,31205,2000,4,19,,,
IDCJAC0009,31205,2000,4,20,,,
IDCJAC0009,31205,2000,4,21,,,
IDCJAC0009,31205,2000,4,22,,,
IDCJAC0009,31205,2000,4,23,,,
IDCJAC0009,31205,2000,4,24,,,
IDCJAC0009,31205,2000,4,25,,,
IDCJAC0009,31205,2000,4,26,,,
IDCJAC0009,31205,2000,4,27,,,
IDCJAC0009,31205,2000,4,28,,,
IDCJAC0009,31205,2000,4,29,,,
IDCJAC0009,31205,2000,4,30,,,
IDCJAC0009,31205,2000,5,1,,,
IDCJAC0009,31205,2000,5,2,,,
IDCJAC0009,31205,2000,5,3,,,
IDCJAC0009,31205,2000,5,4,,,
IDCJAC0009,31205,2000,5,5,,,
IDCJAC0009,31205,2000,5,6,,,
IDCJAC0009,31205,2000,5,7,,,
IDCJAC0009,31205,2000,5,8,,,
IDCJAC0009,31205,2000,5,9,,,
IDCJAC0009,31205,2000,5,10,,,
IDCJAC0009,31205,2000,5,11,,,
IDCJAC0009,31205,2000,5,12,,,
IDCJAC0009,31205,2000,5,13,,,
IDCJAC0009,31205,2000,5,14,,,
IDCJAC0009,31205,2000,5,15,,,
IDCJAC0009,31205,2000,5,16,,,
IDCJAC0009,31205,2000,5,17,,,
IDCJAC0009,31205,2000,5,18,,,
IDCJAC0009,31205,2000,5,19,,,
IDCJAC0009,31205,2000,5,20,,,
IDCJAC0009,31205,2000,5,21,,,
IDCJAC0009,31205,2000,5,22,,,
IDCJAC0009,31205,2000,5,23,,,
IDCJAC0009,31205,2000,5,24,,,
IDCJAC0009,31205,2000,5,25,,,
IDCJAC0009,31205,2000,5,26,,,
IDCJAC0009,31205,2000,5,27,,,
IDCJAC0009,31205,2000,5,28,,,
IDCJAC0009,31205,2000,5,29,,,
IDCJAC0009,31205,2000,5,30,,,
IDCJAC0009,31205,2000,5,31,,,
IDCJAC0009,31205,2000,6,1,,,
IDCJAC0009,31205,2000,6,2,,,
IDCJAC0009,31205,2000,6,3,,,
IDCJAC0009,31205,2000,6,4,,,
IDCJAC0009,31205,2000,6,5,,,
IDCJAC0009,31205,2000,6,6,,,
IDCJAC0009,31205,2000,6,7,,,
IDCJAC0009,31205,2000,6,8,,,
IDCJAC0009,31205,2000,6,9,,,
IDCJAC0009,31205,2000,6,10,,,
IDCJAC0009,31205,2000,6,11,,,
IDCJAC0009,31205,2000,6,12,,,
IDCJAC0009,31205,2000,6,13,,,
IDCJAC0009,31205,2000,6,14,,,
IDCJAC0009,31205,2000,6,15,,,
IDCJAC0009,31205,2000,6,16,,,
IDCJAC0009,31205,2000,6,17,,,
IDCJAC0009,31205,2000,6,18,,,
IDCJAC0009,31205,2000,6,19,,,
IDCJAC0009,31205,2000,6,20,,,
IDCJAC0009,31205,2000,6,21,,,
IDCJAC0009,31205,2000,6,22,,,
IDCJAC0009,31205,2000,6,23,,,
IDCJAC0009,31205,2000,6,24,,,
IDCJAC0009,31205,2000,6,25,,,
IDCJAC0009,31205,2000,6,26,,,
IDCJAC0009,31205,2000,6,27,,,
IDCJAC0009,31205,2000,6,28,,,
IDCJAC0009,31205,2000,6,29,,,
IDCJAC0009,31205,2000,6,30,,,
IDCJAC0009,31205,2000,7,1,,,
IDCJAC0009,31205,2000,7,2,,,
IDCJAC0009,31205,2000,7,3,,,
IDCJAC0009,31205,2000,7,4,,,
IDCJAC0009,31205,2000,7,5,,,
IDCJAC0009,31205,2000,7,6,,,
IDCJAC0009,31205,2000,7,7,,,
IDCJAC0009,31205,2000,7,8,,,
IDCJAC0009,31205,2000,7,9,,,
IDCJAC0009,31205,2000,7,10,,,
IDCJAC0009,31205,2000,7,11,,,
IDCJAC0009,31205,2000,7,12,,,
IDCJAC0009,31205,2000,7,13,,,
IDCJAC0009,31205,2000,7,14,,,
IDCJAC0009,31205,2000,7,15,,,
IDCJAC0009,31205,2000,7,16,,,
IDCJAC0009,31205,2000,7,17,,,
IDCJAC0009,31205,2000,7,18,,,
IDCJAC0009,31205,2000,7,19,,,
IDCJAC0009,31205,2000,7,20,,,
IDCJAC0009,31205,2000,7,21,,,
IDCJAC0009,31205,2000,7,22,,,
IDCJAC0009,31205,2000,7,23,,,
IDCJAC0009,31205,2000,7,24,,,
IDCJAC0009,31205,2000,7,25,,,
IDCJAC0009,31205,2000,7,26,,,
IDCJAC0009,31205,2000,7,27,,,
IDCJAC0009,31205,2000,7,28,,,
IDCJAC0009,31205,2000,7,29,,,
IDCJAC0009,31205,2000,7,30,,,
IDCJAC0009,31205,2000,7,31,,,
IDCJAC0009,31205,2000,8,1,,,
IDCJAC0009,31205,2000,8,2,,,
IDCJAC0009,31205,2000,8,3,,,
IDCJAC0009,31205,2000,8,4,,,
IDCJAC0009,31205,2000,8,5,,,
IDCJAC0009,31205,2000,8,6,,,
IDCJAC0009,31205,2000,8,7,,,
IDCJAC0009,31205,2000,8,8,,,
IDCJAC0009,31205,2000,8,9,,,
IDCJAC0009,31205,2000,8,10,,,
IDCJAC0009,31205,2000,8,11,,,
IDCJAC0009,31205,2000,8,12,,,
IDCJAC0009,31205,2000,8,13,,,
IDCJAC0009,31205,2000,8,14,,,
IDCJAC0009,31205,2000,8,15,,,
IDCJAC0009,31205,2000,8,16,,,
IDCJAC0009,31205,2000,8,17,,,
IDCJAC0009,31205,2000,8,18,,,
IDCJAC0009,31205,2000,8,19,,,
IDCJAC0009,31205,2000,8,20,,,
IDCJAC0009,31205,2000,8,21,,,
IDCJAC0009,31205,2000,8,22,,,
IDCJAC0009,31205,2000,8,23,,,
IDCJAC0009,31205,2000,8,24,,,
IDCJAC0009,31205,2000,8,25,,,
IDCJAC0009,31205,2000,8,26,,,
IDCJAC0009,31205,2000,8,27,,,
IDCJAC0009,31205,2000,8,28,,,
IDCJAC0009,31205,2000,8,29,,,
IDCJAC0009,31205,2000,8,30,,,
IDCJAC0009,31205,2000,8,31,,,
IDCJAC0009,31205,2000,9,1,,,
IDCJAC0009,31205,2000,9,2,,,
IDCJAC0009,31205,2000,9,3,,,
IDCJAC0009,31205,2000,9,4,,,
IDCJAC0009,31205,2000,9,5,,,
IDCJAC0009,31205,2000,9,6,,,
IDCJAC0009,31205,2000,9,7,,,
IDCJAC0009,31205,2000,9,8,,,
IDCJAC0009,31205,2000,9,9,,,
IDCJAC0009,31205,2000,9,10,,,
IDCJAC0009,31205,2000,9,11,,,
IDCJAC0009,31205,2000,9,12,,,
IDCJAC0009,31205,2000,9,13,,,
IDCJAC0009,31205,2000,9,14,,,
IDCJAC0009,31205,2000,9,15,,,
IDCJAC0009,31205,2000,9,16,,,
IDCJAC0009,31205,2000,9,17,,,
IDCJAC0009,31205,2000,9,18,,,
IDCJAC0009,31205,2000,9,19,,,
